temperature,vibration,usage_hours,motor_speed,has_error,usage_duration,error,maintenance_label
40.43773663803545,0.42639524456339795,111.43333333333334,1243.7897925465109,0,6686,,normal
29.680127150076036,0.5127796609283332,95.63333333333334,1586.1546062040873,0,5738,,normal
44.00360956645166,0.8011822608227339,81.88333333333334,807.4094473426902,0,4913,,normal
45.52451773112971,0.8238564952296756,177.35,1498.1034256452124,0,10641,,normal
22.391718490769307,0.46248860432390015,55.78333333333333,2153.441019247336,0,3347,,normal
27.582563945101455,0.47883430679707356,203.31666666666666,1545.7946181228706,0,12199,,normal
39.02272322533828,0.6437232283439493,77.6,1191.990916410945,0,4656,,normal
35.47005926125134,0.2977810141018775,19.766666666666666,1137.0157822201384,0,1186,,normal
37.86559073996569,0.509952667071286,93.85,1177.657211195054,0,5631,,normal
31.17564857941136,0.44534468736830585,30.8,1243.335675219932,0,1848,,normal
45.03518379890263,0.5065034780623596,48.65,1191.3212562415258,0,2919,,normal
44.222335483431586,0.299993614929107,111.83333333333333,1734.850805251318,0,6710,,normal
38.52824558048973,0.16387785120438558,120.55,622.0521766522271,0,7233,,normal
47.01792965574426,0.07686298152156751,55.78333333333333,1712.0400211730962,0,3347,,normal
41.74007473801637,0.2488708596618706,144.3,1190.5316594401243,0,8658,,normal
31.125660296934093,0.3674384487109201,153.66666666666666,1508.3180699920563,0,9220,,normal
40.95000627265999,0.3972255144032229,169.0,876.6650777156372,0,10140,,normal
30.328939193368008,0.798701609237313,119.11666666666666,1908.0250480767631,0,7147,,normal
45.02760241045818,0.6490788065833136,164.98333333333332,1873.1666832721867,0,9899,,normal
37.60059271210998,0.2768235990585071,0.0,1753.028020815031,0,0,,normal
36.52110109163792,0.5125875214411723,72.51666666666667,713.8029941667135,0,4351,,normal
32.55256364476847,0.3767259174569415,42.31666666666667,1698.2308498477423,0,2539,,normal
47.780330709392246,0.3988145091527829,96.55,1520.0391368069977,0,5793,,normal
36.763764143449585,0.4833586168947688,58.56666666666667,675.7860762043216,0,3514,,normal
34.573377422695145,0.5614508010555708,80.86666666666666,1339.7950988162575,0,4852,,normal
35.182931596094164,0.38893347290087726,193.51666666666668,1503.1044853939702,0,11611,,normal
42.25847348442679,0.6414932758921845,80.66666666666667,1583.5516150057233,0,4840,,normal
40.92355251491263,0.2444511192943673,112.76666666666667,1424.4497741185194,0,6766,,normal
41.301860892767905,0.4511410312252083,77.23333333333333,1472.3171950758995,0,4634,,normal
41.44656802406306,0.9175812707872498,94.16666666666667,1968.9167847463,0,5650,,normal
55.13318080696369,0.49015435367254956,90.33333333333333,1864.9342421624856,0,5420,,normal
34.74867986892308,0.7079786111891111,114.65,145.83691941124766,0,6879,,normal
